Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
dry tropics,black,NA,forestry,2009,1156,78.9,6.8,-128.2,-61.9,2009 to 1999
dry tropics,black,NA,forestry,2016,1156.7,78.9,6.8,0,0,2016 to 2009
dry tropics,black,NA,forestry,2021,1145.1,78.9,6.9,-0,-0,2021 to 2016
dry tropics,ross,NA,forestry,1999,1775.2,45,2.5,0,0,1999 to 1999
dry tropics,ross,NA,forestry,2009,1778.8,45,2.5,-0,-0,2009 to 1999
dry tropics,ross,NA,forestry,2016,1775.7,45,2.5,0,0,2016 to 2009
dry tropics,ross,NA,forestry,2021,1754.9,45,2.6,-0,-0,2021 to 2016
mackay whitsunday isaac,don,NA,forestry,1999,3920.1,0.2,0,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,forestry,2009,3872.2,0.3,0,0.1,35,2009 to 1999
mackay whitsunday isaac,don,NA,forestry,2016,3865.1,0.3,0,0,0,2016 to 2009
mackay whitsunday isaac,don,NA,forestry,2021,3750.8,0.3,0,0,0,2021 to 2016
mackay whitsunday isaac,o'connell,NA,forestry,1999,2444.9,198.2,8.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,forestry,2009,2444.9,181.7,7.4,-16.4,-8.3,2009 to 1999
mackay whitsunday isaac,o'connell,NA,forestry,2016,2444.9,159,6.5,-22.7,-12.5,2016 to 2009
mackay whitsunday isaac,o'connell,NA,forestry,2021,2445,155.6,6.4,-3.5,-2.2,2021 to 2016
mackay whitsunday isaac,pioneer,NA,forestry,1999,1571.2,365.4,23.3,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,forestry,2009,1571.2,373.4,23.8,8,2.2,2009 to 1999
mackay whitsunday isaac,pioneer,NA,forestry,2016,1571.2,297.3,18.9,-76,-20.4,2016 to 2009
mackay whitsunday isaac,pioneer,NA,forestry,2021,1574.9,298,18.9,0.7,0.2,2021 to 2016
mackay whitsunday isaac,plane,NA,forestry,1999,2559.9,122.1,4.8,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,forestry,2009,2559.9,109.4,4.3,-12.7,-10.4,2009 to 1999
mackay whitsunday isaac,plane,NA,forestry,2016,2559.9,147,5.7,37.6,34.4,2016 to 2009
mackay whitsunday isaac,plane,NA,forestry,2021,2623.1,149,5.7,2,1.3,2021 to 2016
mackay whitsunday isaac,proserpine,NA,forestry,1999,2771.3,251.9,9.1,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,forestry,2009,2771.2,258.3,9.3,6.4,2.5,2009 to 1999
mackay whitsunday isaac,proserpine,NA,forestry,2016,2771.2,134.7,4.9,-123.6,-47.8,2016 to 2009
mackay whitsunday isaac,proserpine,NA,forestry,2021,2770.7,134.7,4.9,0,0,2021 to 2016
wet tropics,barron,NA,forestry,1999,2381.4,805.3,33.8,0,0,1999 to 1999
wet tropics,barron,NA,forestry,2009,2368.3,395.1,16.7,-410.1,-50.9,2009 to 1999
wet tropics,barron,NA,forestry,2015,2385,239,10,-156.1,-39.5,2015 to 2009
wet tropics,barron,NA,forestry,2021,2192.8,239.3,10.9,0.2,0.1,2021 to 2015
wet tropics,daintree,NA,forestry,1999,2123.3,1000.4,47.1,0,0,1999 to 1999
wet tropics,daintree,NA,forestry,2009,2120.6,903.4,42.6,-97,-9.7,2009 to 1999
wet tropics,herbert,NA,forestry,1999,10001.3,562.9,5.6,0,0,1999 to 1999
wet tropics,herbert,NA,forestry,2009,9994.8,426,4.3,-136.9,-24.3,2009 to 1999
wet tropics,herbert,NA,forestry,2015,9950.2,395,4,-31,-7.3,2015 to 2009
wet tropics,herbert,NA,forestry,2021,9871.2,423.2,4.3,28.1,7.1,2021 to 2015
wet tropics,johnstone,NA,forestry,1999,2459.7,638.8,26,0,0,1999 to 1999
wet tropics,johnstone,NA,forestry,2009,2456.4,38.4,1.6,-600.3,-94,2009 to 1999
wet tropics,johnstone,NA,forestry,2015,2455.5,3.8,0.2,-34.6,-90,2015 to 2009
wet tropics,johnstone,NA,forestry,2021,2316.9,3.2,0.1,-0.7,-17.5,2021 to 2015
wet tropics,mossman,NA,forestry,1999,513.4,158.7,30.9,0,0,1999 to 1999
wet tropics,mossman,NA,forestry,2009,498,0.2,0,-158.6,-99.9,2009 to 1999
wet tropics,mossman,NA,forestry,2015,496,0.1,0,-0,-21.5,2015 to 2009
wet tropics,mossman,NA,forestry,2021,465.4,0.2,0,0.1,48.7,2021 to 2015
wet tropics,mulgrave,NA,forestry,1999,1332.9,255.7,19.2,0,0,1999 to 1999
wet tropics,mulgrave,NA,forestry,2009,1333.3,5.2,0.4,-250.5,-98,2009 to 1999
wet tropics,mulgrave,NA,forestry,2015,1332.9,5.2,0.4,-0,-0.6,2015 to 2009
wet tropics,mulgrave,NA,forestry,2021,1319.3,5.2,0.4,0,0,2021 to 2015
wet tropics,murray,NA,forestry,1999,1516.4,327.7,21.6,0,0,1999 to 1999
wet tropics,murray,NA,forestry,2009,1514.3,109.9,7.3,-217.7,-66.4,2009 to 1999
wet tropics,murray,NA,forestry,2015,1514.9,102.9,6.8,-7,-6.4,2015 to 2009
wet tropics,murray,NA,forestry,2021,1501.3,102.8,6.8,-0.2,-0.2,2021 to 2015
wet tropics,russell,NA,forestry,1999,718.4,23.9,3.3,0,0,1999 to 1999
wet tropics,russell,NA,forestry,2009,695.6,2.6,0.4,-21.3,-89.1,2009 to 1999
wet tropics,russell,NA,forestry,2015,696.1,1.6,0.2,-1,-37,2015 to 2009
wet tropics,russell,NA,forestry,2021,670.3,1.5,0.2,-0.1,-8.1,2021 to 2015
wet tropics,tully,NA,forestry,1999,1718,766.2,44.6,0,0,1999 to 1999
wet tropics,tully,NA,forestry,2009,1711.8,20.3,1.2,-745.8,-97.3,2009 to 1999
wet tropics,tully,NA,forestry,2021,1684,28.7,1.7,8.4,41.2,2021 to 2009
burdekin,burdekin,NA,grazing,1999,133447.3,122409.6,91.7,0,0,1999 to 1999
burdekin,burdekin,NA,grazing,2009,133941.7,121652,90.8,-757.6,-0.6,2009 to 1999
burdekin,burdekin,NA,grazing,2016,133163.3,120048.7,90.2,-1603.4,-1.3,2016 to 2009
burdekin,burdekin,NA,grazing,2021,130046.9,113752.3,87.5,-6296.3,-5.2,2021 to 2016
burdekin,haughton,NA,grazing,1999,4156.2,2367.4,57,0,0,1999 to 1999
burdekin,haughton,NA,grazing,2009,4156.4,2338.1,56.3,-29.2,-1.2,2009 to 1999
burdekin,haughton,NA,grazing,2016,4153.9,2317.2,55.8,-20.9,-0.9,2016 to 2009
burdekin,haughton,NA,grazing,2021,4065.4,2304,56.7,-13.3,-0.6,2021 to 2016
dry tropics,black,NA,grazing,1999,1156.8,499.1,43.1,0,0,1999 to 1999
dry tropics,black,NA,grazing,2009,1156,479.6,41.5,-19.5,-3.9,2009 to 1999
dry tropics,black,NA,grazing,2016,1156.7,443.5,38.3,-36.1,-7.5,2016 to 2009
dry tropics,black,NA,grazing,2021,1145.1,456.6,39.9,13.1,2.9,2021 to 2016
dry tropics,ross,NA,grazing,1999,1775.2,898.8,50.6,0,0,1999 to 1999
dry tropics,ross,NA,grazing,2009,1778.8,870.6,48.9,-28.2,-3.1,2009 to 1999
dry tropics,ross,NA,grazing,2016,1775.7,846.2,47.7,-24.3,-2.8,2016 to 2009
dry tropics,ross,NA,grazing,2021,1754.9,794.5,45.3,-51.8,-6.1,2021 to 2016
mackay whitsunday isaac,don,NA,grazing,1999,3920.1,3165.5,80.8,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,grazing,2009,3872.2,3091.5,79.8,-74,-2.3,2009 to 1999
mackay whitsunday isaac,don,NA,grazing,2016,3865.1,3079.1,79.7,-12.5,-0.4,2016 to 2009
mackay whitsunday isaac,don,NA,grazing,2021,3750.8,2980.1,79.5,-99,-3.2,2021 to 2016
mackay whitsunday isaac,o'connell,NA,grazing,1999,2444.9,948.9,38.8,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,grazing,2009,2444.9,950,38.9,1.1,0.1,2009 to 1999
mackay whitsunday isaac,o'connell,NA,grazing,2016,2444.9,976.1,39.9,26.1,2.7,2016 to 2009
mackay whitsunday isaac,o'connell,NA,grazing,2021,2445,1174.3,48,198.2,20.3,2021 to 2016
mackay whitsunday isaac,pioneer,NA,grazing,1999,1571.2,338.4,21.5,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,grazing,2009,1571.2,356.4,22.7,18.1,5.3,2009 to 1999
mackay whitsunday isaac,pioneer,NA,grazing,2016,1571.2,366.6,23.3,10.2,2.9,2016 to 2009
mackay whitsunday isaac,pioneer,NA,grazing,2021,1574.9,497.2,31.6,130.5,35.6,2021 to 2016
mackay whitsunday isaac,plane,NA,grazing,1999,2559.9,515.3,20.1,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,grazing,2009,2559.9,551.1,21.5,35.8,6.9,2009 to 1999
mackay whitsunday isaac,plane,NA,grazing,2016,2559.9,561,21.9,9.9,1.8,2016 to 2009
mackay whitsunday isaac,plane,NA,grazing,2021,2623.1,971.3,37,410.3,73.1,2021 to 2016
mackay whitsunday isaac,proserpine,NA,grazing,1999,2771.3,1133.9,40.9,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,grazing,2009,2771.2,1075,38.8,-58.9,-5.2,2009 to 1999
mackay whitsunday isaac,proserpine,NA,grazing,2016,2771.2,1116,40.3,41,3.8,2016 to 2009
mackay whitsunday isaac,proserpine,NA,grazing,2021,2770.7,1233.1,44.5,117.1,10.5,2021 to 2016
wet tropics,barron,NA,grazing,1999,2381.4,869.6,36.5,0,0,1999 to 1999
wet tropics,barron,NA,grazing,2009,2368.3,859.5,36.3,-10.1,-1.2,2009 to 1999
wet tropics,barron,NA,grazing,2015,2385,883.9,37.1,24.4,2.8,2015 to 2009
wet tropics,barron,NA,grazing,2021,2192.8,684.1,31.2,-199.8,-22.6,2021 to 2015
wet tropics,daintree,NA,grazing,1999,2123.3,152.4,7.2,0,0,1999 to 1999
wet tropics,daintree,NA,grazing,2009,2120.6,153.3,7.2,0.9,0.6,2009 to 1999
wet tropics,daintree,NA,grazing,2015,2115.7,170,8,16.7,10.9,2015 to 2009
wet tropics,daintree,NA,grazing,2021,2104.8,168.4,8,-1.6,-0.9,2021 to 2015
wet tropics,herbert,NA,grazing,1999,10001.3,5502.9,55,0,0,1999 to 1999
wet tropics,herbert,NA,grazing,2009,9994.8,5368.7,53.7,-134.2,-2.4,2009 to 1999
wet tropics,herbert,NA,grazing,2015,9950.2,5350.2,53.8,-18.4,-0.3,2015 to 2009
wet tropics,herbert,NA,grazing,2021,9871.2,5055.7,51.2,-294.6,-5.5,2021 to 2015
wet tropics,johnstone,NA,grazing,1999,2459.7,590.1,24,0,0,1999 to 1999
wet tropics,johnstone,NA,grazing,2009,2456.4,632.9,25.8,42.8,7.3,2009 to 1999
wet tropics,johnstone,NA,grazing,2015,2455.5,658.8,26.8,25.9,4.1,2015 to 2009
wet tropics,johnstone,NA,grazing,2021,2316.9,565.6,24.4,-93.3,-14.2,2021 to 2015
wet tropics,mossman,NA,grazing,1999,513.4,13.7,2.7,0,0,1999 to 1999
wet tropics,mossman,NA,grazing,2009,498,16.7,3.3,2.9,21.4,2009 to 1999
wet tropics,mossman,NA,grazing,2015,496,16.6,3.4,-0,-0.2,2015 to 2009
wet tropics,mossman,NA,grazing,2021,465.4,26.1,5.6,9.5,56.8,2021 to 2015
wet tropics,mulgrave,NA,grazing,1999,1332.9,42.1,3.2,0,0,1999 to 1999
wet tropics,mulgrave,NA,grazing,2009,1333.3,39.2,2.9,-2.9,-6.8,2009 to 1999
wet tropics,mulgrave,NA,grazing,2015,1332.9,41.3,3.1,2.1,5.4,2015 to 2009
wet tropics,mulgrave,NA,grazing,2021,1319.3,43.6,3.3,2.3,5.5,2021 to 2015
wet tropics,murray,NA,grazing,1999,1516.4,79.9,5.3,0,0,1999 to 1999
wet tropics,murray,NA,grazing,2009,1514.3,75.9,5,-4.1,-5.1,2009 to 1999
wet tropics,murray,NA,grazing,2015,1514.9,82.9,5.5,7,9.2,2015 to 2009
wet tropics,murray,NA,grazing,2021,1501.3,71.6,4.8,-11.3,-13.6,2021 to 2015
wet tropics,russell,NA,grazing,1999,718.4,53.3,7.4,0,0,1999 to 1999
wet tropics,russell,NA,grazing,2009,695.6,60.1,8.6,6.9,12.9,2009 to 1999
wet tropics,russell,NA,grazing,2015,696.1,65.3,9.4,5.2,8.6,2015 to 2009
wet tropics,russell,NA,grazing,2021,670.3,66.3,9.9,1.1,1.6,2021 to 2015
wet tropics,tully,NA,grazing,1999,1718,110.1,6.4,0,0,1999 to 1999
wet tropics,tully,NA,grazing,2009,1711.8,89.2,5.2,-20.9,-19,2009 to 1999
wet tropics,tully,NA,grazing,2015,1712.8,105.8,6.2,16.6,18.6,2015 to 2009
wet tropics,tully,NA,grazing,2021,1684,112.7,6.7,6.9,6.5,2021 to 2015
burdekin,burdekin,NA,irrigated agriculture,1999,133447.3,270.1,0.2,0,0,1999 to 1999
burdekin,burdekin,NA,irrigated agriculture,2009,133941.7,296.5,0.2,26.4,9.8,2009 to 1999
burdekin,burdekin,NA,irrigated agriculture,2016,133163.3,290.1,0.2,-6.4,-2.2,2016 to 2009
burdekin,burdekin,NA,irrigated agriculture,2021,130046.9,313.6,0.2,23.5,8.1,2021 to 2016
burdekin,haughton,NA,irrigated agriculture,1999,4156.2,792,19.1,0,0,1999 to 1999
burdekin,haughton,NA,irrigated agriculture,2009,4156.4,797.5,19.2,5.6,0.7,2009 to 1999
burdekin,haughton,NA,irrigated agriculture,2016,4153.9,808.1,19.5,10.5,1.3,2016 to 2009
burdekin,haughton,NA,irrigated agriculture,2021,4065.4,796.7,19.6,-11.3,-1.4,2021 to 2016
dry tropics,black,NA,irrigated agriculture,1999,1156.8,20.2,1.7,0,0,1999 to 1999
dry tropics,black,NA,irrigated agriculture,2009,1156,20.8,1.8,0.6,2.9,2009 to 1999
dry tropics,black,NA,irrigated agriculture,2016,1156.7,21,1.8,0.2,1,2016 to 2009
dry tropics,black,NA,irrigated agriculture,2021,1145.1,20.3,1.8,-0.8,-3.6,2021 to 2016
dry tropics,ross,NA,irrigated agriculture,1999,1775.2,9.6,0.5,0,0,1999 to 1999
dry tropics,ross,NA,irrigated agriculture,2009,1778.8,13,0.7,3.3,34.6,2009 to 1999
dry tropics,ross,NA,irrigated agriculture,2016,1775.7,12.3,0.7,-0.6,-4.9,2016 to 2009
dry tropics,ross,NA,irrigated agriculture,2021,1754.9,10.7,0.6,-1.6,-12.8,2021 to 2016
mackay whitsunday isaac,don,NA,irrigated agriculture,1999,3920.1,174.7,4.5,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,irrigated agriculture,2009,3872.2,180.2,4.7,5.5,3.2,2009 to 1999
mackay whitsunday isaac,don,NA,irrigated agriculture,2016,3865.1,195.3,5.1,15.1,8.4,2016 to 2009
mackay whitsunday isaac,don,NA,irrigated agriculture,2021,3750.8,210.3,5.6,15,7.7,2021 to 2016
mackay whitsunday isaac,o'connell,NA,irrigated agriculture,1999,2444.9,368.4,15.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,irrigated agriculture,2009,2444.9,342.5,14,-26,-7,2009 to 1999
mackay whitsunday isaac,o'connell,NA,irrigated agriculture,2016,2444.9,321.9,13.2,-20.6,-6,2016 to 2009
mackay whitsunday isaac,o'connell,NA,irrigated agriculture,2021,2445,321.2,13.1,-0.7,-0.2,2021 to 2016
mackay whitsunday isaac,pioneer,NA,irrigated agriculture,1999,1571.2,357.5,22.8,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,irrigated agriculture,2009,1571.2,334.2,21.3,-23.3,-6.5,2009 to 1999
mackay whitsunday isaac,pioneer,NA,irrigated agriculture,2016,1571.2,320.8,20.4,-13.4,-4,2016 to 2009
mackay whitsunday isaac,pioneer,NA,irrigated agriculture,2021,1574.9,318.9,20.2,-1.9,-0.6,2021 to 2016
mackay whitsunday isaac,plane,NA,irrigated agriculture,1999,2559.9,701.5,27.4,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,irrigated agriculture,2009,2559.9,665.5,26,-36.1,-5.1,2009 to 1999
mackay whitsunday isaac,plane,NA,irrigated agriculture,2016,2559.9,654.1,25.6,-11.3,-1.7,2016 to 2009
mackay whitsunday isaac,plane,NA,irrigated agriculture,2021,2623.1,656.2,25,2.1,0.3,2021 to 2016
mackay whitsunday isaac,proserpine,NA,irrigated agriculture,1999,2771.3,244.4,8.8,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,irrigated agriculture,2009,2771.2,248.3,9,3.9,1.6,2009 to 1999
mackay whitsunday isaac,proserpine,NA,irrigated agriculture,2016,2771.2,248.2,9,-0.1,-0,2016 to 2009
mackay whitsunday isaac,proserpine,NA,irrigated agriculture,2021,2770.7,247,8.9,-1.2,-0.5,2021 to 2016
wet tropics,barron,NA,irrigated agriculture,1999,2381.4,229.9,9.7,0,0,1999 to 1999
wet tropics,barron,NA,irrigated agriculture,2009,2368.3,217.9,9.2,-12,-5.2,2009 to 1999
wet tropics,barron,NA,irrigated agriculture,2015,2385,209.1,8.8,-8.8,-4,2015 to 2009
wet tropics,barron,NA,irrigated agriculture,2021,2192.8,226,10.3,16.9,8.1,2021 to 2015
wet tropics,daintree,NA,irrigated agriculture,1999,2123.3,2.3,0.1,0,0,1999 to 1999
wet tropics,daintree,NA,irrigated agriculture,2009,2120.6,3.2,0.2,0.9,41,2009 to 1999
wet tropics,daintree,NA,irrigated agriculture,2015,2115.7,2.6,0.1,-0.7,-20.5,2015 to 2009
wet tropics,daintree,NA,irrigated agriculture,2021,2104.8,2.1,0.1,-0.5,-19.1,2021 to 2015
wet tropics,herbert,NA,irrigated agriculture,1999,10001.3,205.2,2.1,0,0,1999 to 1999
wet tropics,herbert,NA,irrigated agriculture,2009,9994.8,185.5,1.9,-19.7,-9.6,2009 to 1999
wet tropics,herbert,NA,irrigated agriculture,2015,9950.2,193.2,1.9,7.7,4.2,2015 to 2009
wet tropics,herbert,NA,irrigated agriculture,2021,9871.2,211.5,2.1,18.3,9.5,2021 to 2015
wet tropics,johnstone,NA,irrigated agriculture,1999,2459.7,76.7,3.1,0,0,1999 to 1999
wet tropics,johnstone,NA,irrigated agriculture,2009,2456.4,72.6,3,-4.1,-5.4,2009 to 1999
wet tropics,johnstone,NA,irrigated agriculture,2015,2455.5,68.3,2.8,-4.3,-5.9,2015 to 2009
wet tropics,johnstone,NA,irrigated agriculture,2021,2316.9,67.4,2.9,-0.9,-1.4,2021 to 2015
wet tropics,mossman,NA,irrigated agriculture,1999,513.4,0.4,0.1,0,0,1999 to 1999
wet tropics,mossman,NA,irrigated agriculture,2009,498,0.7,0.1,0.2,58.3,2009 to 1999
wet tropics,mossman,NA,irrigated agriculture,2015,496,0.8,0.2,0.2,25.2,2015 to 2009
wet tropics,mossman,NA,irrigated agriculture,2021,465.4,0.7,0.2,-0.1,-11.6,2021 to 2015
wet tropics,mulgrave,NA,irrigated agriculture,1999,1332.9,2.9,0.2,0,0,1999 to 1999
wet tropics,mulgrave,NA,irrigated agriculture,2009,1333.3,2.1,0.2,-0.8,-28.7,2009 to 1999
wet tropics,mulgrave,NA,irrigated agriculture,2015,1332.9,2,0.2,-0.1,-2.9,2015 to 2009
wet tropics,mulgrave,NA,irrigated agriculture,2021,1319.3,3.9,0.3,1.8,88.5,2021 to 2015
wet tropics,murray,NA,irrigated agriculture,1999,1516.4,22.4,1.5,0,0,1999 to 1999
wet tropics,murray,NA,irrigated agriculture,2009,1514.3,14.7,1,-7.7,-34.5,2009 to 1999
wet tropics,murray,NA,irrigated agriculture,2015,1514.9,8.3,0.5,-6.4,-43.4,2015 to 2009
wet tropics,murray,NA,irrigated agriculture,2021,1501.3,8.4,0.6,0.1,0.8,2021 to 2015
wet tropics,russell,NA,irrigated agriculture,1999,718.4,8.1,1.1,0,0,1999 to 1999
wet tropics,russell,NA,irrigated agriculture,2009,695.6,10,1.4,1.9,23.8,2009 to 1999
wet tropics,russell,NA,irrigated agriculture,2015,696.1,11.9,1.7,1.9,18.8,2015 to 2009
wet tropics,russell,NA,irrigated agriculture,2021,670.3,11.9,1.8,0,0.1,2021 to 2015
wet tropics,tully,NA,irrigated agriculture,1999,1718,48.4,2.8,0,0,1999 to 1999
wet tropics,tully,NA,irrigated agriculture,2009,1711.8,59.6,3.5,11.2,23.2,2009 to 1999
wet tropics,tully,NA,irrigated agriculture,2015,1712.8,55.5,3.2,-4.1,-6.9,2015 to 2009
wet tropics,tully,NA,irrigated agriculture,2021,1684,43.8,2.6,-11.7,-21.1,2021 to 2015
burdekin,burdekin,NA,mining,1999,133447.3,85.2,0.1,0,0,1999 to 1999
burdekin,burdekin,NA,mining,2009,133941.7,123.5,0.1,38.4,45.1,2009 to 1999
burdekin,burdekin,NA,mining,2016,133163.3,147.6,0.1,24.1,19.5,2016 to 2009
burdekin,burdekin,NA,mining,2021,130046.9,210.9,0.2,63.3,42.9,2021 to 2016
burdekin,haughton,NA,mining,1999,4156.2,2.2,0.1,0,0,1999 to 1999
burdekin,haughton,NA,mining,2009,4156.4,2.7,0.1,0.5,23.6,2009 to 1999
burdekin,haughton,NA,mining,2016,4153.9,3.1,0.1,0.5,17.2,2016 to 2009
burdekin,haughton,NA,mining,2021,4065.4,3.2,0.1,0.1,2.5,2021 to 2016
dry tropics,black,NA,mining,1999,1156.8,4.4,0.4,0,0,1999 to 1999
dry tropics,black,NA,mining,2009,1156,4.9,0.4,0.5,11.8,2009 to 1999
dry tropics,black,NA,mining,2016,1156.7,5.3,0.5,0.4,7.6,2016 to 2009
dry tropics,black,NA,mining,2021,1145.1,5.3,0.5,0,0,2021 to 2016
dry tropics,ross,NA,mining,1999,1775.2,3.1,0.2,0,0,1999 to 1999
dry tropics,ross,NA,mining,2009,1778.8,4.5,0.3,1.5,48,2009 to 1999
dry tropics,ross,NA,mining,2016,1775.7,5.5,0.3,0.9,20.7,2016 to 2009
dry tropics,ross,NA,mining,2021,1754.9,5.5,0.3,0.1,1.4,2021 to 2016
mackay whitsunday isaac,don,NA,mining,1999,3920.1,2.3,0.1,0,0,1999 to 1999
mackay whitsunday isaac,don,NA,mining,2009,3872.2,2.8,0.1,0.5,23.3,2009 to 1999
mackay whitsunday isaac,don,NA,mining,2016,3865.1,3.4,0.1,0.6,21.2,2016 to 2009
mackay whitsunday isaac,don,NA,mining,2021,3750.8,4.1,0.1,0.7,21.3,2021 to 2016
mackay whitsunday isaac,o'connell,NA,mining,1999,2444.9,1.7,0.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,NA,mining,2009,2444.9,1.8,0.1,0.1,8.2,2009 to 1999
mackay whitsunday isaac,o'connell,NA,mining,2016,2444.9,1.9,0.1,0,1.7,2016 to 2009
mackay whitsunday isaac,o'connell,NA,mining,2021,2445,1.9,0.1,0,0.2,2021 to 2016
mackay whitsunday isaac,pioneer,NA,mining,1999,1571.2,0.8,0.1,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,NA,mining,2009,1571.2,1,0.1,0.2,20.4,2009 to 1999
mackay whitsunday isaac,pioneer,NA,mining,2016,1571.2,1.4,0.1,0.3,32.5,2016 to 2009
mackay whitsunday isaac,pioneer,NA,mining,2021,1574.9,1.2,0.1,-0.2,-14.5,2021 to 2016
mackay whitsunday isaac,plane,NA,mining,1999,2559.9,1.6,0.1,0,0,1999 to 1999
mackay whitsunday isaac,plane,NA,mining,2009,2559.9,2,0.1,0.5,30.2,2009 to 1999
mackay whitsunday isaac,plane,NA,mining,2016,2559.9,2.6,0.1,0.6,27.5,2016 to 2009
mackay whitsunday isaac,plane,NA,mining,2021,2623.1,2.5,0.1,-0.1,-3,2021 to 2016
mackay whitsunday isaac,proserpine,NA,mining,1999,2771.3,0.9,0,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,NA,mining,2009,2771.2,1.4,0.1,0.5,49.6,2009 to 1999
mackay whitsunday isaac,proserpine,NA,mining,2016,2771.2,1.4,0.1,0,1.7,2016 to 2009
mackay whitsunday isaac,proserpine,NA,mining,2021,2770.7,1.5,0.1,0,3.3,2021 to 2016
wet tropics,barron,NA,mining,1999,2381.4,3.2,0.1,0,0,1999 to 1999
wet tropics,barron,NA,mining,2009,2368.3,3.5,0.1,0.4,12,2009 to 1999
wet tropics,barron,NA,mining,2015,2385,3.8,0.2,0.3,7.7,2015 to 2009
wet tropics,barron,NA,mining,2021,2192.8,3.7,0.2,-0.1,-1.6,2021 to 2015
wet tropics,daintree,NA,mining,1999,2123.3,0.1,0,0,0,1999 to 1999
wet tropics,herbert,NA,mining,1999,10001.3,2.8,0,0,0,1999 to 1999
wet tropics,herbert,NA,mining,2009,9994.8,3.7,0,1,35.1,2009 to 1999
wet tropics,herbert,NA,mining,2015,9950.2,4,0,0.2,5.9,2015 to 2009
wet tropics,herbert,NA,mining,2021,9871.2,5.5,0.1,1.5,38.3,2021 to 2015
wet tropics,johnstone,NA,mining,1999,2459.7,0.8,0,0,0,1999 to 1999
wet tropics,johnstone,NA,mining,2009,2456.4,1.2,0.1,0.4,46.8,2009 to 1999
wet tropics,johnstone,NA,mining,2015,2455.5,1.2,0,-0,-1.7,2015 to 2009
wet tropics,johnstone,NA,mining,2021,2316.9,1.2,0.1,-0,-0,2021 to 2015
wet tropics,mossman,NA,mining,1999,513.4,0.3,0.1,0,0,1999 to 1999
wet tropics,mossman,NA,mining,2009,498,0.3,0.1,0,9.5,2009 to 1999
wet tropics,mossman,NA,mining,2015,496,0.3,0.1,-0,-0,2015 to 2009
wet tropics,mossman,NA,mining,2021,465.4,0.4,0.1,0.1,18.1,2021 to 2015
wet tropics,mulgrave,NA,mining,1999,1332.9,1,0.1,0,0,1999 to 1999
wet tropics,mulgrave,NA,mining,2009,1333.3,1.1,0.1,0.1,8,2009 to 1999
wet tropics,mulgrave,NA,mining,2015,1332.9,1.1,0.1,0,2.6,2015 to 2009
wet tropics,mulgrave,NA,mining,2021,1319.3,1.2,0.1,0.1,5.6,2021 to 2015
wet tropics,murray,NA,mining,1999,1516.4,0.3,0,0,0,1999 to 1999
wet tropics,murray,NA,mining,2009,1514.3,0.3,0,0,0,2009 to 1999
wet tropics,murray,NA,mining,2015,1514.9,0.4,0,0.1,48.3,2015 to 2009
wet tropics,murray,NA,mining,2021,1501.3,0.4,0,0,0,2021 to 2015
wet tropics,russell,NA,mining,1999,718.4,0.1,0,0,0,1999 to 1999
wet tropics,russell,NA,mining,2009,695.6,0.1,0,0,39.3,2009 to 1999
wet tropics,russell,NA,mining,2015,696.1,0.1,0,-0,-17.9,2015 to 2009
wet tropics,russell,NA,mining,2021,670.3,0.1,0,-0,-4.6,2021 to 2015
wet tropics,tully,NA,mining,1999,1718,0.4,0,0,0,1999 to 1999
wet tropics,tully,NA,mining,2009,1711.8,0.5,0,0.2,40.2,2009 to 1999
wet tropics,tully,NA,mining,2015,1712.8,0.6,0,0,8.7,2015 to 2009
wet tropics,tully,NA,mining,2021,1684,0.6,0,0,6.3,2021 to 2015
burdekin,burdekin,NA,urban/intensive,1999,133447.3,177.7,0.1,0,0,1999 to 1999
burdekin,burdekin,NA,urban/intensive,2009,133941.7,187.9,0.1,10.1,5.7,2009 to 1999
burdekin,burdekin,NA,urban/intensive,2016,133163.3,192.4,0.1,4.5,2.4,2016 to 2009
burdekin,burdekin,NA,urban/intensive,2021,130046.9,230.3,0.2,37.9,19.7,2021 to 2016
burdekin,haughton,NA,urban/intensive,1999,4156.2,57.2,1.4,0,0,1999 to 1999
