Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
burdekin,burdekin,lower burdekin,mining,2009,3801.8,0.6,0,0.5,381.5,2009 to 1999
burdekin,burdekin,lower burdekin,mining,2016,3802.7,0.8,0,0.2,34.8,2016 to 2009
burdekin,burdekin,lower burdekin,mining,2021,3757.2,0.8,0,-0,-0,2021 to 2016
burdekin,burdekin,suttor,mining,1999,19585.6,8.4,0,0,0,1999 to 1999
burdekin,burdekin,suttor,mining,2009,19650.3,26.8,0.1,18.4,219.9,2009 to 1999
burdekin,burdekin,suttor,mining,2016,19556.7,29.9,0.2,3.1,11.7,2016 to 2009
burdekin,burdekin,suttor,mining,2021,18206.9,51.5,0.3,21.6,72,2021 to 2016
burdekin,burdekin,upper burdekin,mining,1999,40690.7,29,0.1,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,mining,2009,40690.7,34.9,0.1,5.9,20.2,2009 to 1999
burdekin,burdekin,upper burdekin,mining,2016,40950.4,36,0.1,1.1,3.2,2016 to 2009
burdekin,burdekin,upper burdekin,mining,2021,40499.4,39.1,0.1,3.2,8.8,2021 to 2016
burdekin,haughton,haughton,mining,1999,4156.2,2.2,0.1,0,0,1999 to 1999
burdekin,haughton,haughton,mining,2009,4156.4,2.7,0.1,0.5,23.6,2009 to 1999
burdekin,haughton,haughton,mining,2016,4153.9,3.1,0.1,0.5,17.2,2016 to 2009
burdekin,haughton,haughton,mining,2021,4065.4,3.2,0.1,0.1,2.5,2021 to 2016
dry tropics,black,black river,mining,1999,305.3,3.2,1.1,0,0,1999 to 1999
dry tropics,black,black river,mining,2009,304.8,3.2,1.1,-0,-0,2009 to 1999
dry tropics,black,black river,mining,2016,304.9,3.2,1.1,0,0,2016 to 2009
dry tropics,black,black river,mining,2021,301.5,3.2,1.1,0,0,2021 to 2016
dry tropics,black,bluewater creek,mining,1999,296.4,1,0.3,0,0,1999 to 1999
dry tropics,black,bluewater creek,mining,2009,296.1,1.6,0.5,0.6,59.3,2009 to 1999
dry tropics,black,bluewater creek,mining,2016,296.7,1.9,0.6,0.3,20.5,2016 to 2009
dry tropics,black,bluewater creek,mining,2021,291.4,1.9,0.7,0,0,2021 to 2016
dry tropics,black,crystal creek,mining,1999,239.7,0,0,0,0,1999 to 1999
dry tropics,black,crystal creek,mining,2009,239.7,0,0,0,0,2009 to 1999
dry tropics,black,palm islands,mining,1999,86.3,0.1,0.1,0,0,1999 to 1999
dry tropics,black,palm islands,mining,2009,86.3,0,0,-0.1,-80.9,2009 to 1999
dry tropics,black,palm islands,mining,2016,86.3,0,0,0,0,2016 to 2009
dry tropics,black,palm islands,mining,2021,86.3,0,0,0,0,2021 to 2016
dry tropics,black,rollingstone creek,mining,1999,224,0,0,0,0,1999 to 1999
dry tropics,black,rollingstone creek,mining,2009,224,0,0,0,94.2,2009 to 1999
dry tropics,black,rollingstone creek,mining,2016,224.1,0.1,0.1,0.1,175.9,2016 to 2009
dry tropics,black,rollingstone creek,mining,2021,221.8,0.1,0.1,-0,-0,2021 to 2016
dry tropics,ross,alligator creek,mining,1999,368.2,0.1,0,0,0,1999 to 1999
dry tropics,ross,alligator creek,mining,2009,369.1,0.1,0,0,11.8,2009 to 1999
dry tropics,ross,alligator creek,mining,2016,369.4,0.3,0.1,0.1,127.3,2016 to 2009
dry tropics,ross,alligator creek,mining,2021,360.1,0.3,0.1,0.1,29.9,2021 to 2016
dry tropics,ross,bohle river,mining,1999,332,0.8,0.2,0,0,1999 to 1999
dry tropics,ross,bohle river,mining,2009,332.7,1.4,0.4,0.6,68.2,2009 to 1999
dry tropics,ross,bohle river,mining,2016,331,1.6,0.5,0.2,14.6,2016 to 2009
dry tropics,ross,bohle river,mining,2021,328.5,1.6,0.5,-0,-0,2021 to 2016
dry tropics,ross,ross river (lower),mining,1999,134.3,0.1,0.1,0,0,1999 to 1999
dry tropics,ross,ross river (lower),mining,2009,133.9,0.1,0.1,0,14.6,2009 to 1999
dry tropics,ross,ross river (lower),mining,2016,133.9,0.1,0.1,0,0,2016 to 2009
dry tropics,ross,ross river (lower),mining,2021,133.9,0.1,0.1,0,0,2021 to 2016
dry tropics,ross,ross river (upper),mining,1999,765.2,0.6,0.1,0,0,1999 to 1999
dry tropics,ross,ross river (upper),mining,2009,767.5,0.8,0.1,0.1,18.2,2009 to 1999
dry tropics,ross,ross river (upper),mining,2016,768.1,1.1,0.1,0.3,40.2,2016 to 2009
dry tropics,ross,ross river (upper),mining,2021,760.8,1.1,0.1,0,0,2021 to 2016
dry tropics,ross,stuart creek,mining,1999,124.8,1.4,1.1,0,0,1999 to 1999
dry tropics,ross,stuart creek,mining,2009,124.9,2.1,1.7,0.8,55,2009 to 1999
dry tropics,ross,stuart creek,mining,2016,122.6,2.4,2,0.3,13.3,2016 to 2009
dry tropics,ross,stuart creek,mining,2021,120.8,2.4,2,0,0,2021 to 2016
mackay whitsunday isaac,don,don,mining,1999,3920.1,2.3,0.1,0,0,1999 to 1999
mackay whitsunday isaac,don,don,mining,2009,3872.2,2.8,0.1,0.5,23.3,2009 to 1999
mackay whitsunday isaac,don,don,mining,2016,3865.1,3.4,0.1,0.6,21.2,2016 to 2009
mackay whitsunday isaac,don,don,mining,2021,3750.8,4.1,0.1,0.7,21.3,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,mining,1999,2444.9,1.7,0.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,mining,2009,2444.9,1.8,0.1,0.1,8.2,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,mining,2016,2444.9,1.9,0.1,0,1.7,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,mining,2021,2445,1.9,0.1,0,0.2,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,mining,1999,1571.2,0.8,0.1,0,0,1999 to 1999
